date,%-close,value,Target
2015-04,JNJ-close,177.66,1.0
2015-05,XOM-close,62.5362,0.0
2015-06,XOM-close,61.496,0.0
2015-07,XOM-close,60.0524,0.0
2015-08,XOM-close,57.1725,0.0
2015-09,XOM-close,54.8186,0.0
2015-10,XOM-close,54.1702,0.0
2015-11,XOM-close,60.283,1.0
2015-12,XOM-close,60.0261,0.0
2016-01,XOM-close,57.299,0.0
2016-02,XOM-close,57.2255,0.0
2016-03,XOM-close,59.4532,1.0
2016-04,XOM-close,62.0049,1.0
2016-05,XOM-close,65.5729,1.0
2016-06,XOM-close,66.5904,1.0
2016-07,XOM-close,70.1212,1.0
2016-08,XOM-close,66.5381,0.0
2016-09,XOM-close,65.7499,0.0
2016-10,XOM-close,65.8555,1.0
2016-11,XOM-close,62.8676,0.0
2016-12,XOM-close,66.4497,1.0
2017-01,XOM-close,68.7027,1.0
2017-02,XOM-close,63.8541,0.0
2017-03,XOM-close,62.4677,0.0
2017-04,XOM-close,62.9977,1.0
2017-05,XOM-close,62.7212,0.0
2017-06,XOM-close,62.4191,0.0
2017-07,XOM-close,62.5974,1.0
2017-08,XOM-close,62.0624,0.0
2017-09,XOM-close,59.7628,0.0
2017-10,XOM-close,64.1865,1.0
2017-11,XOM-close,65.2591,1.0
2017-12,XOM-close,65.8176,1.0
2018-01,XOM-close,66.0941,1.0
2018-02,XOM-close,68.9864,1.0
2018-03,XOM-close,60.4595,0.0
2018-04,XOM-close,59.5575,0.0
2018-05,XOM-close,62.064,1.0
2018-06,XOM-close,65.5042,1.0
2018-07,XOM-close,66.7056,1.0
2018-08,XOM-close,65.7219,0.0
2018-09,XOM-close,65.3088,0.0
2018-10,XOM-close,69.2598,1.0
2018-11,XOM-close,64.9097,0.0
2018-12,XOM-close,65.4197,1.0
2019-01,XOM-close,56.1128,0.0
2019-02,XOM-close,60.3013,1.0
2019-03,XOM-close,65.7538,1.0
2019-04,XOM-close,67.2264,1.0
2019-05,XOM-close,66.7938,0.0
