,date,%-close_x,value,string-date_x,combined,Date,%-close_y,EPS,string-date_y
3413,2016-05-31,AMGN-close,133.9578,2016-05-31,2016-05-31_AMGN-close,2016-05-31,AMGN-close,2.35,2016-05-31
3414,2016-06-30,AMGN-close,129.0388,2016-06-30,2016-06-30_AMGN-close,2016-06-30,AMGN-close,2.95,2016-06-30
3415,2016-07-29,AMGN-close,145.8991,2016-07-29,2016-07-29_AMGN-close,2016-07-29,AMGN-close,2.95,2016-07-29
3416,2016-08-31,AMGN-close,145.0545,2016-08-31,2016-08-31_AMGN-close,2016-08-31,AMGN-close,2.95,2016-08-31
3417,2016-09-30,AMGN-close,142.2824,2016-09-30,2016-09-30_AMGN-close,2016-09-30,AMGN-close,3.29,2016-09-30
3418,2016-10-31,AMGN-close,120.4039,2016-10-31,2016-10-31_AMGN-close,2016-10-31,AMGN-close,3.29,2016-10-31
3419,2016-11-30,AMGN-close,123.7253,2016-11-30,2016-11-30_AMGN-close,2016-11-30,AMGN-close,3.29,2016-11-30
3420,2016-12-30,AMGN-close,125.5631,2016-12-30,2016-12-30_AMGN-close,2016-12-30,AMGN-close,3.29,2016-12-30
3421,2017-01-31,AMGN-close,134.5546,2017-01-31,2017-01-31_AMGN-close,2017-01-31,AMGN-close,5.01,2017-01-31
3422,2017-02-28,AMGN-close,152.6414,2017-02-28,2017-02-28_AMGN-close,2017-02-28,AMGN-close,5.01,2017-02-28
3423,2017-03-31,AMGN-close,141.8675,2017-03-31,2017-03-31_AMGN-close,2017-03-31,AMGN-close,2.38,2017-03-31
3424,2017-04-28,AMGN-close,141.219,2017-04-28,2017-04-28_AMGN-close,2017-04-28,AMGN-close,2.38,2017-04-28
3425,2017-05-31,AMGN-close,135.1974,2017-05-31,2017-05-31_AMGN-close,2017-05-31,AMGN-close,2.38,2017-05-31
3426,2017-06-30,AMGN-close,149.9939,2017-06-30,2017-06-30_AMGN-close,2017-06-30,AMGN-close,2.97,2017-06-30
3427,2017-07-31,AMGN-close,151.9795,2017-07-31,2017-07-31_AMGN-close,2017-07-31,AMGN-close,2.97,2017-07-31
3428,2017-08-31,AMGN-close,155.8657,2017-08-31,2017-08-31_AMGN-close,2017-08-31,AMGN-close,2.97,2017-08-31
3429,2017-09-29,AMGN-close,163.4761,2017-09-29,2017-09-29_AMGN-close,2017-09-29,AMGN-close,2.97,2017-09-29
3430,2017-10-31,AMGN-close,153.6299,2017-10-31,2017-10-31_AMGN-close,2017-10-31,AMGN-close,3.3,2017-10-31
3431,2017-11-30,AMGN-close,155.0528,2017-11-30,2017-11-30_AMGN-close,2017-11-30,AMGN-close,3.3,2017-11-30
3432,2017-12-29,AMGN-close,153.4993,2017-12-29,2017-12-29_AMGN-close,2017-12-29,AMGN-close,3.3,2017-12-29
3433,2018-01-31,AMGN-close,164.2239,2018-01-31,2018-01-31_AMGN-close,2018-01-31,AMGN-close,5.18,2018-01-31
3434,2018-02-28,AMGN-close,163.4041,2018-02-28,2018-02-28_AMGN-close,2018-02-28,AMGN-close,5.18,2018-02-28
3435,2018-03-29,AMGN-close,151.587,2018-03-29,2018-03-29_AMGN-close,,,,
3436,2018-04-30,AMGN-close,155.1437,2018-04-30,2018-04-30_AMGN-close,2018-04-30,AMGN-close,2.45,2018-04-30
3437,2018-05-31,AMGN-close,160.9271,2018-05-31,2018-05-31_AMGN-close,2018-05-31,AMGN-close,2.45,2018-05-31
3438,2018-06-29,AMGN-close,165.3798,2018-06-29,2018-06-29_AMGN-close,2018-06-29,AMGN-close,2.45,2018-06-29
3439,2018-07-31,AMGN-close,176.0952,2018-07-31,2018-07-31_AMGN-close,2018-07-31,AMGN-close,3.08,2018-07-31
3440,2018-08-31,AMGN-close,180.2188,2018-08-31,2018-08-31_AMGN-close,2018-08-31,AMGN-close,3.08,2018-08-31
3441,2018-09-28,AMGN-close,186.9654,2018-09-28,2018-09-28_AMGN-close,2018-09-28,AMGN-close,3.08,2018-09-28
3442,2018-10-31,AMGN-close,173.8871,2018-10-31,2018-10-31_AMGN-close,2018-10-31,AMGN-close,3.42,2018-10-31
3443,2018-11-30,AMGN-close,189.1196,2018-11-30,2018-11-30_AMGN-close,2018-11-30,AMGN-close,3.42,2018-11-30
3444,2018-12-31,AMGN-close,176.7871,2018-12-31,2018-12-31_AMGN-close,2018-12-31,AMGN-close,4.87,2018-12-31
3445,2019-01-31,AMGN-close,169.9216,2019-01-31,2019-01-31_AMGN-close,2019-01-31,AMGN-close,4.87,2019-01-31
3446,2019-02-28,AMGN-close,173.9595,2019-02-28,2019-02-28_AMGN-close,2019-02-28,AMGN-close,4.87,2019-02-28
3447,2019-03-29,AMGN-close,173.868,2019-03-29,2019-03-29_AMGN-close,2019-03-29,AMGN-close,4.87,2019-03-29
3448,2019-04-30,AMGN-close,164.1121,2019-04-30,2019-04-30_AMGN-close,2019-04-30,AMGN-close,2.25,2019-04-30
3449,2019-05-31,AMGN-close,153.8642,2019-05-31,2019-05-31_AMGN-close,2019-05-31,AMGN-close,2.25,2019-05-31
3450,2019-06-28,AMGN-close,170.0906,2019-06-28,2019-06-28_AMGN-close,2019-06-28,AMGN-close,2.25,2019-06-28
3451,2019-07-31,AMGN-close,172.2135,2019-07-31,2019-07-31_AMGN-close,2019-07-31,AMGN-close,3.17,2019-07-31
3452,2019-08-30,AMGN-close,193.9604,2019-08-30,2019-08-30_AMGN-close,2019-08-30,AMGN-close,3.17,2019-08-30
3453,2019-09-30,AMGN-close,179.9122,2019-09-30,2019-09-30_AMGN-close,2019-09-30,AMGN-close,2.68,2019-09-30
3454,2019-10-31,AMGN-close,198.2651,2019-10-31,2019-10-31_AMGN-close,2019-10-31,AMGN-close,2.68,2019-10-31
3455,2019-11-29,AMGN-close,219.6746,2019-11-29,2019-11-29_AMGN-close,2019-11-29,AMGN-close,2.68,2019-11-29
3456,2019-12-31,AMGN-close,225.6175,2019-12-31,2019-12-31_AMGN-close,2019-12-31,AMGN-close,4.71,2019-12-31
3457,2020-01-31,AMGN-close,202.2013,2020-01-31,2020-01-31_AMGN-close,2020-01-31,AMGN-close,4.71,2020-01-31
3458,2020-02-28,AMGN-close,188.2684,2020-02-28,2020-02-28_AMGN-close,2020-02-28,AMGN-close,4.71,2020-02-28
3459,2020-03-31,AMGN-close,191.0962,2020-03-31,2020-03-31_AMGN-close,2020-03-31,AMGN-close,1.84,2020-03-31
3460,2020-04-30,AMGN-close,225.4922,2020-04-30,2020-04-30_AMGN-close,2020-04-30,AMGN-close,1.84,2020-04-30
3461,2020-05-29,AMGN-close,217.9608,2020-05-29,2020-05-29_AMGN-close,2020-05-29,AMGN-close,1.84,2020-05-29
3462,2020-06-30,AMGN-close,223.8059,2020-06-30,2020-06-30_AMGN-close,2020-06-30,AMGN-close,2.18,2020-06-30
3463,2020-07-31,AMGN-close,232.1657,2020-07-31,2020-07-31_AMGN-close,2020-07-31,AMGN-close,2.18,2020-07-31
3464,2020-08-31,AMGN-close,241.978,2020-08-31,2020-08-31_AMGN-close,2020-08-31,AMGN-close,2.18,2020-08-31
3465,2020-09-30,AMGN-close,242.7804,2020-09-30,2020-09-30_AMGN-close,2020-09-30,AMGN-close,2.58,2020-09-30
3466,2020-10-30,AMGN-close,207.2269,2020-10-30,2020-10-30_AMGN-close,2020-10-30,AMGN-close,2.58,2020-10-30
3467,2020-11-30,AMGN-close,213.5283,2020-11-30,2020-11-30_AMGN-close,2020-11-30,AMGN-close,2.58,2020-11-30
3468,2020-12-31,AMGN-close,221.1062,2020-12-31,2020-12-31_AMGN-close,2020-12-31,AMGN-close,2.07,2020-12-31
3469,2021-01-29,AMGN-close,232.175,2021-01-29,2021-01-29_AMGN-close,2021-01-29,AMGN-close,2.07,2021-01-29
3470,2021-02-26,AMGN-close,217.9175,2021-02-26,2021-02-26_AMGN-close,2021-02-26,AMGN-close,2.07,2021-02-26
3471,2021-03-31,AMGN-close,241.0637,2021-03-31,2021-03-31_AMGN-close,2021-03-31,AMGN-close,1.77,2021-03-31
3472,2021-04-30,AMGN-close,232.1792,2021-04-30,2021-04-30_AMGN-close,2021-04-30,AMGN-close,1.77,2021-04-30
3473,2021-05-28,AMGN-close,232.1462,2021-05-28,2021-05-28_AMGN-close,,,,
3474,2021-06-30,AMGN-close,237.8147,2021-06-30,2021-06-30_AMGN-close,2021-06-30,AMGN-close,2.33,2021-06-30
3475,2021-07-30,AMGN-close,235.6585,2021-07-30,2021-07-30_AMGN-close,2021-07-30,AMGN-close,2.33,2021-07-30
3476,2021-08-31,AMGN-close,221.7144,2021-08-31,2021-08-31_AMGN-close,2021-08-31,AMGN-close,2.33,2021-08-31
3477,2021-09-30,AMGN-close,209.0523,2021-09-30,2021-09-30_AMGN-close,2021-09-30,AMGN-close,2.52,2021-09-30
3478,2021-10-29,AMGN-close,203.4684,2021-10-29,2021-10-29_AMGN-close,2021-10-29,AMGN-close,2.52,2021-10-29
3479,2021-11-30,AMGN-close,197.1744,2021-11-30,2021-11-30_AMGN-close,2021-11-30,AMGN-close,2.52,2021-11-30
3480,2021-12-31,AMGN-close,223.0406,2021-12-31,2021-12-31_AMGN-close,2021-12-31,AMGN-close,3.35,2021-12-31
3481,2022-01-31,AMGN-close,225.192,2022-01-31,2022-01-31_AMGN-close,,,,
3482,2022-02-28,AMGN-close,226.48,2022-02-28,2022-02-28_AMGN-close,,,,
3483,2022-03-31,AMGN-close,241.82,2022-03-31,2022-03-31_AMGN-close,,,,
3484,2022-04-18,AMGN-close,251.93,2022-04-18,2022-04-18_AMGN-close,,,,
