,date,%-close,value
3853,2007-03-30,T-close,12.5932
3854,2007-04-30,T-close,12.4782
3855,2007-05-31,T-close,13.3225
3856,2007-06-29,T-close,13.3741
3857,2007-07-31,T-close,12.7302
3858,2007-08-31,T-close,12.961
3859,2007-09-28,T-close,13.7542
3860,2007-10-31,T-close,13.6996
3861,2007-11-30,T-close,12.526
3862,2007-12-31,T-close,13.6242
3863,2008-01-31,T-close,12.7467
3864,2008-02-29,T-close,11.5346
3865,2008-03-31,T-close,12.6837
3866,2008-04-30,T-close,12.9517
3867,2008-05-30,T-close,13.3498
3868,2008-06-30,T-close,11.2721
3869,2008-07-31,T-close,10.4336
3870,2008-08-29,T-close,10.8332
3871,2008-09-30,T-close,9.4549
3872,2008-10-31,T-close,9.2121
3873,2008-11-28,T-close,9.8281
3874,2008-12-31,T-close,9.8074
3875,2009-01-30,T-close,8.5999
3876,2009-02-27,T-close,8.303
3877,2009-03-31,T-close,8.8025
3878,2009-04-30,T-close,9.0929
3879,2009-05-29,T-close,8.7984
3880,2009-06-30,T-close,8.8161
3881,2009-07-31,T-close,9.4716
3882,2009-08-31,T-close,9.4066
3883,2009-09-30,T-close,9.7532
3884,2009-10-30,T-close,9.4145
3885,2009-11-30,T-close,9.8803
3886,2009-12-31,T-close,10.2801
3887,2010-01-29,T-close,9.4423
3888,2010-02-26,T-close,9.2375
3889,2010-03-31,T-close,9.621
3890,2010-04-30,T-close,9.8618
3891,2010-05-28,T-close,9.1958
3892,2010-06-30,T-close,9.1542
3893,2010-07-30,T-close,9.9859
3894,2010-08-31,T-close,10.4055
3895,2010-09-30,T-close,11.0099
3896,2010-10-29,T-close,11.1402
3897,2010-11-30,T-close,10.855
3898,2010-12-31,T-close,11.4761
3899,2011-01-31,T-close,10.9081
3900,2011-02-28,T-close,11.249
3901,2011-03-31,T-close,12.1329
3902,2011-04-29,T-close,12.5092
3903,2011-05-31,T-close,12.686
3904,2011-06-30,T-close,12.6257
3905,2011-07-29,T-close,11.9234
3906,2011-08-31,T-close,11.6056
3907,2011-09-30,T-close,11.6219
3908,2011-10-31,T-close,12.1252
3909,2011-11-30,T-close,11.9887
3910,2011-12-30,T-close,12.51
3911,2012-01-31,T-close,12.347
3912,2012-02-29,T-close,12.8424
3913,2012-03-30,T-close,13.111
3914,2012-04-30,T-close,14.0128
3915,2012-05-31,T-close,14.5493
3916,2012-06-29,T-close,15.1838
3917,2012-07-31,T-close,16.3465
3918,2012-08-31,T-close,15.7947
3919,2012-09-28,T-close,16.2517
3920,2012-10-31,T-close,15.0843
3921,2012-11-30,T-close,14.8837
3922,2012-12-31,T-close,14.7006
3923,2013-01-31,T-close,15.3703
3924,2013-02-28,T-close,15.8651
3925,2013-03-28,T-close,16.2097
3926,2013-04-30,T-close,16.7479
3927,2013-05-31,T-close,15.6436
3928,2013-06-28,T-close,15.8269
3929,2013-07-31,T-close,15.9682
3930,2013-08-30,T-close,15.3162
3931,2013-09-30,T-close,15.3117
3932,2013-10-31,T-close,16.612
3933,2013-11-29,T-close,16.1577
3934,2013-12-31,T-close,16.1347
3935,2014-01-31,T-close,15.4958
3936,2014-02-28,T-close,14.8493
3937,2014-03-31,T-close,16.3096
3938,2014-04-30,T-close,16.8192
3939,2014-05-30,T-close,16.7108
3940,2014-06-30,T-close,16.659
3941,2014-07-31,T-close,16.9842
3942,2014-08-29,T-close,16.6836
3943,2014-09-30,T-close,16.8172
3944,2014-10-31,T-close,16.8439
3945,2014-11-28,T-close,17.105
3946,2014-12-31,T-close,16.2396
3947,2015-01-30,T-close,16.1412
3948,2015-02-27,T-close,16.9453
3949,2015-03-31,T-close,16.0088
3950,2015-04-30,T-close,17.229
3951,2015-05-29,T-close,17.1793
3952,2015-06-30,T-close,17.6667
3953,2015-07-31,T-close,17.5122
3954,2015-08-31,T-close,16.7359
3955,2015-09-30,T-close,16.4233
3956,2015-10-30,T-close,17.1318
3957,2015-11-30,T-close,17.2136
3958,2015-12-31,T-close,17.592
3959,2016-01-29,T-close,18.6953
3960,2016-02-29,T-close,19.1568
3961,2016-03-31,T-close,20.3077
3962,2016-04-29,T-close,20.3763
3963,2016-05-31,T-close,20.5495
3964,2016-06-30,T-close,22.6805
3965,2016-07-29,T-close,22.9756
3966,2016-08-31,T-close,21.6965
3967,2016-09-30,T-close,21.5532
3968,2016-10-31,T-close,19.7651
3969,2016-11-30,T-close,20.7537
3970,2016-12-30,T-close,22.8489
3971,2017-01-31,T-close,22.9187
3972,2017-02-28,T-close,22.7176
3973,2017-03-31,T-close,22.5871
3974,2017-04-28,T-close,21.8034
3975,2017-05-31,T-close,21.1982
3976,2017-06-30,T-close,20.7581
3977,2017-07-31,T-close,21.7396
3978,2017-08-31,T-close,20.8811
3979,2017-09-29,T-close,21.8343
3980,2017-10-31,T-close,18.9955
3981,2017-11-30,T-close,20.5366
3982,2017-12-29,T-close,21.9479
3983,2018-01-31,T-close,21.4226
3984,2018-02-28,T-close,20.7647
3985,2018-03-29,T-close,20.3929
3986,2018-04-30,T-close,18.9714
3987,2018-05-31,T-close,18.7509
3988,2018-06-29,T-close,18.6291
3989,2018-07-31,T-close,18.8363
3990,2018-08-31,T-close,18.8186
3991,2018-09-28,T-close,19.7849
3992,2018-10-31,T-close,18.346
3993,2018-11-30,T-close,18.6809
3994,2018-12-31,T-close,17.0664
3995,2019-01-31,T-close,18.2799
3996,2019-02-28,T-close,18.9245
3997,2019-03-29,T-close,19.0704
3998,2019-04-30,T-close,19.1296
3999,2019-05-31,T-close,18.8948
4000,2019-06-28,T-close,20.7052
4001,2019-07-31,T-close,21.3587
4002,2019-08-30,T-close,22.1177
4003,2019-09-30,T-close,23.7361
4004,2019-10-31,T-close,24.4762
4005,2019-11-29,T-close,23.7703
4006,2019-12-31,T-close,24.8514
4007,2020-01-31,T-close,24.2436
4008,2020-02-28,T-close,22.6969
4009,2020-03-31,T-close,18.7852
4010,2020-04-30,T-close,19.9775
4011,2020-05-29,T-close,20.2332
4012,2020-06-30,T-close,19.8201
4013,2020-07-31,T-close,19.7353
4014,2020-08-31,T-close,19.8888
4015,2020-09-30,T-close,19.0215
4016,2020-10-30,T-close,18.355
4017,2020-11-30,T-close,19.5302
4018,2020-12-31,T-close,19.537
4019,2021-01-29,T-close,19.7972
4020,2021-02-26,T-close,19.2855
4021,2021-03-31,T-close,20.9312
4022,2021-04-30,T-close,22.096
4023,2021-05-28,T-close,20.7031
4024,2021-06-30,T-close,20.2459
4025,2021-07-30,T-close,20.0965
4026,2021-08-31,T-close,19.6451
4027,2021-09-30,T-close,19.3513
4028,2021-10-29,T-close,18.4449
4029,2021-11-30,T-close,16.6705
4030,2021-12-31,T-close,17.963
4031,2022-01-31,T-close,18.9885
4032,2022-02-28,T-close,17.6407
4033,2022-03-31,T-close,17.596
4034,2022-04-18,T-close,19.46
4035,1999-12-31,HD-close,44.1286
4036,2000-01-31,HD-close,36.3491
4037,2000-02-29,HD-close,36.9075
4038,2000-03-31,HD-close,41.4322
4039,2000-04-28,HD-close,36.2933
