,4b. close (USD),5. volume,6. market cap (USD)
2020-10-05,10792.21000000,34025.76165300,34025.76165300
2020-10-04,10666.63000000,23212.00159500,23212.00159500
2020-10-03,10542.06000000,22298.22134100,22298.22134100
2020-10-02,10570.40000000,50130.39370500,50130.39370500
2020-10-01,10619.13000000,60866.33289300,60866.33289300
2020-09-30,10776.59000000,39596.02732200,39596.02732200
2020-09-29,10840.48000000,41874.89839900,41874.89839900
2020-09-28,10696.12000000,50095.25173400,50095.25173400
2020-09-27,10774.25000000,30549.48325300,30549.48325300
2020-09-26,10728.60000000,28420.83665900,28420.83665900
2020-09-25,10686.67000000,48101.11700800,48101.11700800
2020-09-24,10736.32000000,57676.61942700,57676.61942700
2020-09-23,10241.46000000,51876.56807900,51876.56807900
2020-09-22,10529.61000000,43991.23547600,43991.23547600
2020-09-21,10417.22000000,70683.43117900,70683.43117900
2020-09-20,10920.28000000,39157.92256500,39157.92256500
2020-09-19,11080.65000000,38440.03685800,38440.03685800
2020-09-18,10933.39000000,47266.72827500,47266.72827500
2020-09-17,10939.99000000,55601.61452900,55601.61452900
2020-09-16,10954.01000000,64991.51244000,64991.51244000
2020-09-15,10785.31000000,61822.45278600,61822.45278600
2020-09-14,10671.77000000,67059.29136100,67059.29136100
2020-09-13,10332.83000000,43837.60986500,43837.60986500
2020-09-12,10440.92000000,35379.15309600,35379.15309600
2020-09-11,10387.89000000,43830.25446700,43830.25446700
2020-09-10,10336.87000000,58253.75375000,58253.75375000
2020-09-09,10219.20000000,49347.11377600,49347.11377600
2020-09-08,10126.65000000,73491.87841800,73491.87841800
2020-09-07,10373.44000000,62620.23067600,62620.23067600
2020-09-06,10256.20000000,56368.78881500,56368.78881500
2020-09-05,10166.69000000,90001.60556800,90001.60556800
2020-09-04,10446.25000000,92733.59911300,92733.59911300
2020-09-03,10140.85000000,121950.10601500,121950.10601500
2020-09-02,11388.54000000,87221.84560200,87221.84560200
2020-09-01,11921.97000000,78148.19366800,78148.19366800
2020-08-31,11649.51000000,55353.61774400,55353.61774400
2020-08-30,11711.16000000,43177.87905400,43177.87905400
2020-08-29,11465.84000000,32973.79920000,32973.79920000
2020-08-28,11526.91000000,45953.90836500,45953.90836500
2020-08-27,11330.38000000,63246.03638300,63246.03638300
2020-08-26,11461.43000000,53998.23123100,53998.23123100
2020-08-25,11318.42000000,69590.92327200,69590.92327200
2020-08-24,11748.20000000,46212.39186700,46212.39186700
2020-08-23,11648.13000000,37900.00469000,37900.00469000
2020-08-22,11662.96000000,43678.70164600,43678.70164600
2020-08-21,11531.34000000,64448.30614200,64448.30614200
2020-08-20,11853.55000000,46085.25435100,46085.25435100
2020-08-19,11754.59000000,73940.16960600,73940.16960600
2020-08-18,11945.01000000,75923.83552700,75923.83552700
2020-08-17,12281.13000000,84734.21154000,84734.21154000
2020-08-16,11911.00000000,41368.23690600,41368.23690600
2020-08-15,11852.40000000,56237.90505000,56237.90505000
2020-08-14,11760.54000000,59818.85269700,59818.85269700
2020-08-13,11780.00000000,70132.49150200,70132.49150200
2020-08-12,11564.33000000,64909.61364400,64909.61364400
2020-08-11,11392.08000000,90748.28463400,90748.28463400
2020-08-10,11892.92000000,84952.33788700,84952.33788700
2020-08-09,11681.68000000,41493.06734200,41493.06734200
2020-08-08,11761.41000000,41858.16104000,41858.16104000
2020-08-07,11594.23000000,65755.92602200,65755.92602200
2020-08-06,11762.46000000,63529.08502000,63529.08502000
2020-08-05,11744.91000000,74970.25685200,74970.25685200
2020-08-04,11191.97000000,58629.11370900,58629.11370900
2020-08-03,11219.81000000,56931.84147500,56931.84147500
2020-08-02,11071.35000000,97553.07760400,97553.07760400
2020-08-01,11801.17000000,85087.48512600,85087.48512600
2020-07-31,11335.46000000,70063.66097400,70063.66097400
2020-07-30,11099.61000000,60794.82645600,60794.82645600
2020-07-29,11100.53000000,76838.09423300,76838.09423300
2020-07-28,10906.27000000,97267.73418700,97267.73418700
2020-07-27,11029.96000000,150188.93314400,150188.93314400
2020-07-26,9931.54000000,65279.26931900,65279.26931900
2020-07-25,9700.42000000,40679.54541600,40679.54541600
2020-07-24,9537.80000000,43931.13620500,43931.13620500
2020-07-23,9603.27000000,51856.23350000,51856.23350000
2020-07-22,9518.16000000,48815.00410700,48815.00410700
2020-07-21,9390.00000000,60413.58248600,60413.58248600
2020-07-20,9160.78000000,35458.76408200,35458.76408200
2020-07-19,9208.99000000,26052.01941700,26052.01941700
2020-07-18,9170.28000000,22554.54145700,22554.54145700
2020-07-17,9154.32000000,28054.35874100,28054.35874100
2020-07-16,9133.72000000,43375.57119100,43375.57119100
2020-07-15,9197.60000000,39053.57966500,39053.57966500
2020-07-14,9255.85000000,45772.55250900,45772.55250900
2020-07-13,9242.62000000,42740.06911500,42740.06911500
2020-07-12,9302.75000000,30872.70228600,30872.70228600
2020-07-11,9234.03000000,22561.36600000,22561.36600000
2020-07-10,9288.34000000,38295.49400600,38295.49400600
2020-07-09,9232.43000000,48044.45064500,48044.45064500
2020-07-08,9436.06000000,56140.51778100,56140.51778100
2020-07-07,9257.39000000,34587.33667800,34587.33667800
2020-07-06,9344.20000000,54463.13227700,54463.13227700
2020-07-05,9069.41000000,34073.65362700,34073.65362700
2020-07-04,9135.46000000,26441.96848400,26441.96848400
2020-07-03,9058.26000000,28943.42017700,28943.42017700
2020-07-02,9086.54000000,45725.16807600,45725.16807600
2020-07-01,9232.00000000,38488.52869900,38488.52869900
2020-06-30,9138.55000000,31463.16280100,31463.16280100
2020-06-29,9192.56000000,42120.29326100,42120.29326100
2020-06-28,9116.35000000,30688.17642100,30688.17642100
2020-06-27,9012.00000000,46290.93011300,46290.93011300
2020-06-26,9162.21000000,50292.29827700,50292.29827700
2020-06-25,9249.49000000,55831.61915600,55831.61915600
2020-06-24,9296.49000000,61571.56146400,61571.56146400
2020-06-23,9624.89000000,41031.02938000,41031.02938000
2020-06-22,9685.69000000,57895.46834300,57895.46834300
2020-06-21,9294.69000000,24316.92623400,24316.92623400
2020-06-20,9358.95000000,30329.06538400,30329.06538400
2020-06-19,9310.23000000,45330.98367300,45330.98367300
2020-06-18,9386.32000000,37381.95376500,37381.95376500
2020-06-17,9465.14000000,48046.41115200,48046.41115200
2020-06-16,9525.59000000,52052.44692700,52052.44692700
2020-06-15,9426.02000000,86107.92470700,86107.92470700
2020-06-14,9342.10000000,30055.50660800,30055.50660800
2020-06-13,9473.34000000,27759.78485100,27759.78485100
2020-06-12,9465.13000000,50119.06693200,50119.06693200
2020-06-11,9280.40000000,94418.98473000,94418.98473000
2020-06-10,9885.00000000,47130.76298200,47130.76298200
2020-06-09,9772.43000000,46024.00128900,46024.00128900
2020-06-08,9782.01000000,40664.66412500,40664.66412500
2020-06-07,9746.99000000,57952.84838500,57952.84838500
2020-06-06,9666.30000000,32752.95089300,32752.95089300
2020-06-05,9621.16000000,47788.05005000,47788.05005000
2020-06-04,9789.06000000,57456.10096900,57456.10096900
2020-06-03,9666.24000000,46252.64493900,46252.64493900
2020-06-02,9518.04000000,108970.77315100,108970.77315100
2020-06-01,10200.77000000,76649.12696000,76649.12696000
2020-05-31,9448.27000000,48333.78640300,48333.78640300
2020-05-30,9697.72000000,55665.27254000,55665.27254000
2020-05-29,9427.07000000,57374.36296100,57374.36296100
2020-05-28,9575.89000000,74110.78766200,74110.78766200
2020-05-27,9204.07000000,68910.35551400,68910.35551400
2020-05-26,8841.18000000,58299.77013800,58299.77013800
2020-05-25,8900.35000000,62833.91094900,62833.91094900
2020-05-24,8720.34000000,70379.86645000,70379.86645000
2020-05-23,9179.15000000,43526.29696600,43526.29696600
2020-05-22,9170.00000000,58943.13102400,58943.13102400
2020-05-21,9068.65000000,108928.78096900,108928.78096900
2020-05-20,9511.43000000,74923.73809000,74923.73809000
2020-05-19,9775.53000000,78539.76045400,78539.76045400
2020-05-18,9733.93000000,82006.60358300,82006.60358300
2020-05-17,9680.04000000,68647.76432300,68647.76432300
2020-05-16,9381.27000000,59587.62786200,59587.62786200
2020-05-15,9316.42000000,115890.76151600,115890.76151600
2020-05-14,9791.98000000,129565.37747000,129565.37747000
